videoId;viewCount;likeCount;favoriteCount;commentCount
V4gGJ7XXlC0;83853;8536;0;613
DXmCU7v9glM;92295;5489;0;89
4p7axLXXBGU;78625;4413;0;82
uOgDa1rlqjE;122242;18400;0;273
fLs-zF9BFxg;22352;1336;0;82
GQpQha2Mfpg;873963;52486;0;1204
vw_3iMuOvGg;68563;5486;0;123
Q8eajxcS6dQ;1144372;67685;0;1513
Dp-biEtYiO4;77428;6180;0;149
7Kpd6eprz4k;52065;3123;0;120
S9uPNppGsGo;6646916;385652;0;10919
Mp0vhMDI7fA;2867469;207253;0;3296
rfscVS0vtbw;40006537;966385;0;43305
YgrjjIT74qU;26731;1881;0;84
Z0rLHYPqNNY;6012;565;0;14
VuKvR1J2LQE;3036596;181089;0;5758
xOldKdP_ZII;97577;6912;0;176
tY70BhTM29M;3880;478;0;32
UnfmxnFpfdM;232603;13476;0;459
31llNGKWDdo;3392606;184717;0;46981
kCMaqla6Grs;136887;7534;0;132
kqtD5dpn9C8;11187343;281642;0;15967
CBcPbyC9lFQ;2553;296;0;19
_uQrJ0TkZlc;33220397;951837;0;53634
s4ZUkwe0ZTI;18646;970;0;103
gomDSZaay3E;123864;7803;0;297
va2Rg2xZwug;99347;8486;0;118
XKHEtdqhLK8;9885053;523691;0;15314
B343jnCWD58;577187;42235;0;809
wuRJDHs-x94;24482;2536;0;115
hc4I1COj5Go;2112;230;0;33
HSotf1Amess;12484;1242;0;36
x7X9w_GIm1s;1804207;81220;0;1478
BlKi9X7XRxQ;2078;313;0;41
hdDHg1p3YVc;2064054;99371;0;8024
C7Uvr61bmoU;124474;10393;0;476
-yXHisxe-VM;2287;335;0;6
giZx0zVUcew;3103;268;0;25
KG2UTmcVBQI;1624;311;0;10
ElRd0cbXIv4;2464555;136790;0;5051
Ktl5dAeCHWo;12282;985;0;23
UM9_EKG7r28;5842;712;0;17
BW9Va5syNC0;69771;4775;0;73
b093aqAZiPU;1576994;36649;0;1604
Y8Tko2YC5hA;1710847;58051;0;836
t8pPdKYpowI;4228792;118430;0;3170
_j-4fOzHWPY;31672;1451;0;23
mRMmlo_Uqcs;1776422;83587;0;4354
OaeHnwnlDqw;2051045;20948;0;826
EGannsIYzrw;1949651;149715;0;1680
tEn5BjRY8Uw;842905;25704;0;672
eWRfhZUzrAc;990190;28588;0;685
8DvywoWv6fI;5898113;166965;0;4515
qecsnAXtms4;147834;4881;0;277
QPVwAPEJzW8;30959436;184112;0;8102
0MhVkKHYUAY;3165361;106176;0;2261
ZFPqYyd0Hh8;70321;4307;0;106
LXsdt6RMNfY;348670;8803;0;265
H09PmP5tsy8;599660;24199;0;575
mDKM-JtUhhc;91844;3824;0;157
JmhgkCk865o;31677;1766;0;63
F2Mx-u7auUs;250717;6884;0;233
vEQ8CXFWLZU;800518;38146;0;457
B9nFMZIYQl0;264206;10230;0;319
VchuKL44s6E;1228161;38754;0;1099
9LSa9sEaoEw;17073;1048;0;103
ITSMDeOgXxw;82816;1968;0;29
qUeud6DvOWI;1215612;50340;0;3606
nAIziNtExLM;812580;27646;0;387
iNEwkaYmPqY;246807;10570;0;434
_6N18g3ewnw;51664;3423;0;136
DLn3jOsNRVE;1949643;51589;0;1574
th4OBktqK1I;699111;27106;0;538
9s29LKfEFjQ;3070621;141968;0;3401
bPrYDTjXfVo;8080;878;0;8
D_td0SlMKsM;482047;6828;0;697
YfO28Ihehbk;1776038;34618;0;1001
tYS_Hr9uR48;306907;26733;0;87
FUPbYtRUs5o;2881;210;0;15
GH_o8s9xDKs;6748;1615;0;24
